id,display,rank
33748,Hjortensgade 36,6
60869,Nørregade 11,6
2153,Skovfaldet (1922-),6
73134,Sjællandsgade 86,6
1415,Langvad,6
3157,Absalonsgade 26,6
85760,Søndergade 21,6
2842,Ålborggade (1928-),6
24420,Frue Kirkeplads 1,6
22349,Falstersgade 14,6
59182,Norsgade 11,6
68856,Ryesgade 32,6
90840,Trepkasgade 11,6
61387,Odensegade 37,6
5214,Badstuegade 21,6
94544,Vestergade 47,6
2228,Smøgen,6
77433,Skovvejen 37,6
59411,Ny Munkegade 48,6
12738,Bøgegade 12,6
22902,Fiskergade 1,6
1772,Nyvej,6
67496,Rosenkrantzgade 14,6
73169,Sjællandsgade 112,6
85660,Sølystgade 59,6
45878,Knudrisgade 28,6
77439,Skovvejen 43,6
59409,Ny Munkegade 44,6
23703,Fredensgade 19,6
93178,Valdemarsgade 54,6
51111,Lollandsgade 42,6
14628,Christiansgade 27,6
22904,Fiskergade 5,6
71643,Sandgravvej 8,6
59377,Ny Munkegade 7,6
57399,Møllestien 28,6
73193,Sjællandsgade 133,6
23660,Fredens Torv 6,6
1681,Møllegården,6
59413,Ny Munkegade 52,6
61366,Odensegade 15,6
73147,Sjællandsgade 94,6
24018,Frederiksgade 45,6
54897,Mejlgade 101,6
22916,Fiskergade 82,6
85778,Søndergade 45,6
47683,Kystvejen 7,6
94595,Vestergade 60,6
73131,Sjællandsgade 82,6
9311,Brammersgade 2,6
24026,Frederiksgade 54,6
834,Harald Jensens Plads (1929-),6
56412,Museumsgade 6,6
54770,Mejlgade 3,6
97548,Wilstersgade 37,6
59430,Ny Munkegade 73,6
97468,Willemoesgade 2,6
47705,Kystvejen 59,6
33735,Hjortensgade 17,6
14765,Dalgas Avenue 17,6
59391,Ny Munkegade 14,6
55458,Montanagade 40,6
97078,Volden 26,6
2240,Solbakken,6
42333,Kaløgade 4,6
22371,Falstersgade 35,6
85210,Søgade 7,6
51116,Lollandsgade 49,6
54780,Mejlgade 12,6
45873,Knudrisgade 24,6
63306,Paradisgade 10,6
42540,Kannikegade 4,6
28308,Grønnegade 37,6
87850,Thunøgade 54,6
2830,Åbyvej,6
73081,Sjællandsgade 49,6
73153,Sjællandsgade 98,6
97070,Volden 19,6
24001,Frederiksgade 29,6
45890,Knudrisgade 39,6
59207,Norsgade 29,6
45648,Klostergade 74,6
55319,Molsgade 6,6
87841,Thunøgade 44,6
67547,Rosensgade 38,6
23721,Fredensgade 31,6
71995,Schleppegrellsgade 16,6
60913,Nørreport 20,6
51383,Lundingsgade 7,6
22919,Fiskergade 86,6
60863,Nørregade 6,6
67520,Rosensgade 18,6
28303,Grønnegade 5,6
97075,Volden 24,6
89035,Toldbodgade 6,6
73189,Sjællandsgade 129,6
98540,Østergade 25,6
59519,Nygade 4,6
45881,Knudrisgade 31,6
85779,Søndergade 47,6
60709,Nørre Alle 23,6
23713,Fredensgade 28,6
94537,Vestergade 42,6
85750,Søndergade 10,6
47697,Kystvejen 43,6
54390,Marstrandsgade 3,6
73105,Sjællandsgade 63,6
51384,Lundingsgade 8,6
60862,Nørregade 5,6
84460,Studsgade 10,6
55423,Montanagade 8,6
55322,Molsgade 10,6
22380,Falstersgade 43,5
28335,Grønnegade 65,5
73187,Sjællandsgade 127,5
51110,Lollandsgade 41,5
24061,Frederiksgade 81,5
71447,Samsøgade 82,5
85758,Søndergade 19,5
51078,Lollandsgade 6,5
73111,Sjællandsgade 68,5
28360,Grønnegade 87,5
73124,Sjællandsgade 80,5
14623,Christiansgade 24,5
31862,Havnegade 20,5
55178,Mindegade 18,5
24032,Frederiksgade 70,5
54884,Mejlgade 85,5
51121,Lollandsgade 54,5
242,Bragesvej,5
45632,Klostergade 43,5
2090,Sct. Clemens Bro,5
26876,Graven 26,5
63300,Paradisgade 5,5
84466,Studsgade 20,5
8793,Bogensegade 4,5
34420,Holbergsgade 5,5
85640,Sølystgade 40,5
33691,Hjelmensgade 8,5
55317,Molsgade 4,5
45875,Knudrisgade 26,5
55446,Montanagade 29,5
98535,Østergade 10,5
1611,Mindet,5
45867,Knudrisgade 19,5
3136,Absalonsgade 5,5
73171,Sjællandsgade 114,5
73196,Sjællandsgade 137,5
109343,Mindeport,5
91892,Trøjborgvej 6,5
332,Bøgevej,5
77488,Skovvejen 95,5
22263,Ewaldsgade 15,5
98550,Østergade 46,5
22917,Fiskergade 83,5
109707,Pavillonen i Riis Skov (1869-1938),5
87849,Thunøgade 53,5
71405,Samsøgade 22,5
61358,Odensegade 3,5
83692,Store Torv 16,5
56414,Museumsgade 10,5
91918,Trøjborgvej 46,5
33752,Hjortensgade 44,5
45630,Klostergade 35,5
23978,Frederiksbjerg Torv 7,5
67505,Rosenkrantzgade 20,5
94598,Vestergade 64,5
98543,Østergade 30,5
63291,Paradisgade 2,5
109469,Mejlgadesport - Middelgadesport,5
4115,Anholtsgade 7,5
32796,Helgenæsgade 5,5
60839,Nørrebrogade 10,5
195,Bjørnholt,5
83689,Store Torv 12,5
24030,Frederiksgade 67,5
51102,Lollandsgade 31,5
93173,Valdemarsgade 48,5
54880,Mejlgade 80,5
32198,Heibergsgade 26,5
2222,Smedegade,5
85789,Søndergade 66,5
67485,Rosenkrantzgade 4,5
60860,Nørregade 1,5
51091,Lollandsgade 20,5
59523,Nygade 8,5
59195,Norsgade 21,5
26813,Graven 4,5
54900,Mejlgade 105,5
45891,Knudrisgade 40,5
59503,Nyborggade 3,5
73123,Sjællandsgade 79,5
108209,Volden 890,5
63307,Paradisgade 11,5
87842,Thunøgade 45,5
85598,Sølystgade 4,5
32064,Hedemannsgade 16,5
85621,Sølystgade 22,5
85657,Sølystgade 56,5
73183,Sjællandsgade 123,5
54808,Mejlgade 34,5
92078,Tværgade 3,5
1114,Indelukket,5
71388,Samsøgade 3,5
411,De Mezas Vej,5
16167,Dybbølgade 18,5
5206,Badstuegade 15,5
60865,Nørregade 7,5
51100,Lollandsgade 29,5
2176,Skt. Clemens Torv,5
73110,Sjællandsgade 67,5
84448,Studsgade 2,5
22907,Fiskergade 38,5
87153,Tangen 8,5
15498,Dannebrogsgade 8,5
87844,Thunøgade 47,5
55483,Montanagade 66,5
33749,Hjortensgade 38,5
51095,Lollandsgade 24,5
8792,Bogensegade 3,5
39179,Istedgade 12,5
73115,Sjællandsgade 73,5
93168,Valdemarsgade 44,5
108255,Mejlgade 64,5
94569,Vestergade 55,5
71390,Samsøgade 6,5
77459,Skovvejen 53,5
59435,Ny Munkegade 77,5
93185,Valdemarsgade 59,5
84475,Studsgade 30,5
68827,Ryesgade 5,5
23697,Fredensgade 14,5
85781,Søndergade 51,5
73096,Sjællandsgade 61,5
87837,Thunøgade 40,5
33685,Hjelmensgade 4,5
284,Bulowsgade,5
71442,Samsøgade 79,5
23707,Fredensgade 23,5
87853,Thunøgade 57,5
59376,Ny Munkegade 6,5
92084,Tværgade 16,5
73173,Sjællandsgade 116,5
108139,Jægergården,5
77492,Skovvejen 103,5
61381,Odensegade 31,5
22921,Fiskergade 90,5
205,Blomsterhaven,5
59399,Ny Munkegade 24,5
51081,Lollandsgade 9,5
2471,Thorvaldsensgade,5
57420,Møllestien 53,5
24063,Frederiksgade 84,5
71366,Saltholmsgade 33,5
28306,Grønnegade 10,5
71402,Samsøgade 19,5
108597,Nordre Kirkegård,5
24012,Frederiksgade 41,4
85195,Søgade 3,4
2398,Søholm,4
55439,Montanagade 25,4
22352,Falstersgade 16,4
77395,Skovvejen 6,4
2290,Stadion Alle (1920-),4
32065,Hedemannsgade 17,4
8800,Bogensegade 15,4
77435,Skovvejen 39,4
77243,Skovvangsvej 1,4
54402,Marstrandsgade 17,4
57412,Møllestien 47,4
32178,Heibergsgade 6,4
47701,Kystvejen 49,4
73083,Sjællandsgade 50,4
47690,Kystvejen 25,4
23708,Fredensgade 24,4
77477,Skovvejen 77,4
73042,Sjællandsgade 11,4
